`Date,Text,Score,Username
2025-04-05 05:11:34,"game ngntd, kon, bb, kmk",1,Yudi Permadi
2025-04-05 05:11:26,mantap,5,Fietje Watae
2025-04-05 05:11:15,kalo ngasih tim yang bner anjg,1,Abiyanatha 12
2025-04-05 05:11:10,"moonton kasih team yg seimbang lah, jangan yg ngetrolll",1,Barbie Cool
2025-04-05 05:11:10,"cape ah main game ini pass season, ls mulu cok, musuh nya ex imo, tim nya penghuni epik asli, skrg seruan roblox 🙏🏻",1,akun pw balik
2025-04-05 05:11:00,minimal ff lah bos,1,Ibrad
2025-04-05 05:10:25,"lu pelit bintang, q jga bisa pelit",1,Mas Uya
2025-04-05 05:10:20,gem nya bagus si tapi masak aku mau ganti emot tiba tiba di bagian persiapan aku cari efek engak ketemu ketemu padahal awal nya ada terus tiba tiba ilang mohon dijelaskan atau ditambah kan kembali bagian efek nya,3,Liliana Zahra
2025-04-05 05:09:17,"Setiap saya bermain rank pasti mendapatkan teman beban setiap bermain, ini sangat merugikan saya. Tolong pencarian matchmaking nya di sesuaikan agar permainan seimbang, karena dari kemarin saya bermain tim nya tidak seimbang, tim saya beban semua sedangkan musuh nya macam Fenrir dongkak.",1,Novriza irfan Zidni
2025-04-05 05:08:53,bagus tapi aku kangen Hero Hero dulu dante akai Bane clint dan lain lain,5,Akbar Revianka
2025-04-05 05:07:50,Game busuk bikin hp gua hampir rusak 😡😡😡😡😡😡😡😡😡,1,Fadli Rizki
2025-04-05 05:07:41,game nya sangat bagus dan enak untuk di mainkan,5,Sufebri Febri
2025-04-05 05:06:45,jangan di download banyak drak sistemya,1,Asep Hasan
2025-04-05 05:06:43,"Cape mainin ni game, lawan top global tim penghuni asli,sama padahal saya ga ngomong kasar tapi tiba-tiba di mute 30 pertandingan,saya kalo pengen ngasih tau temen jadi susah",1,Manusia biasa
2025-04-05 05:06:33,woy lu kolo ngasih musuh sama tim ngotak dikit dong losetrek mulu gw dari tadi turun naik turun naik mulu bintang gua,2,Nonorarak Apatuh
2025-04-05 05:06:17,Mungkin maksud Anda:  nonton tolong jangan mentang mentang aku jago main dan menang berturut turut lalu kau kasi kawan ku bodoh dan lawanku jago monton please don't say that I'm good at playing and winning in a row then you say my friend is stupid and my opponent is good,1,Yef Zb
2025-04-05 05:05:55,mending HOK dripada game gajelas gini gda manusiawi ny game rusak moonton tolong la benerin bug sinyal nya njing tiap ngerank selalu aja ada sinyal mengganggu giliran main epep lancar aja,1,Andika Saputra
2025-04-05 05:05:39,pembagian tim gak jelas tim musuh jago rekan tim kita gk bisa main Sangat tidak disarankan bermain game ini,1,Prayuda Azri
2025-04-05 05:04:26,mantap,5,Andyelaw Andyelaw
2025-04-05 05:03:51,sangat deru,5,Maria Ulfa
2025-04-05 05:03:25,game ini berkstegorikan game santai dan seru kalah ataupun menang tetep seru cocok nih buat kita klo gabut,5,pola cihuy
2025-04-05 05:02:58,"tolong perbaiki lah monton,,kendala saya saat bermain jaringan sering nge lag,lebih aneh nya saat main clasic dan brawl enak enak aja tapi pada saat nge rank tiba jaringan sering ngelag,,KENAPAAA, SAYA SANGAT KECEWAAA. TOLONG perbaiki masalah jaringan tersebut..",3,Yovan Andriyas
2025-04-05 05:02:22,"terimakasih muntun, saya kasih bintang lima,tim nya pada jago,saaaaayang muntun",1,Risa Umami
2025-04-05 05:02:13,Hero nya bgs²,5,Lala Filza
2025-04-05 05:01:56,"server mobile legend sepertinya sudah kepenuhan, selalu saja ngelek kalau sedang war dengan lawan, padahal sinyal bagus, tapi sering ngelek",4,Syahdan Rivaldi
2025-04-05 05:01:02,Bagus,5,ikon harun
2025-04-05 05:00:50,saya sangat suka dengan mobile lengends gem nya sang at seru sekali terimakasih,5,Semarang02
2025-04-05 04:59:37,asli bagus bgtttt arghhhhh,5,Sri Nurmalasari
2025-04-05 04:59:29,game sejuta umat,5,Adjie Suyatma
2025-04-05 04:59:05,1 bintang lagi ke mitik malah kalah menang kalah aja sampai kiamat tinggal 1 lagi malah kalah k4tl,1,Labieb Game
2025-04-05 04:58:46,walaupun ada yang beban/gak bisa main. tapi gamenya tetep bagus jirr 😎😎,5,Leon gamer indonesia
2025-04-05 04:57:21,mohon la sama developer jangan jumpai sama dark sistem terus,2,Wahyu Pranata
2025-04-05 04:56:13,ngasih team gak ngotak gak niat busuk jelek banyak dark system game jelek,1,Edwar Handika
2025-04-05 04:55:22,apalah udah tau jaringan ga kenapa²tapi di game nya malah merah jelek jelek dasar jelek,2,1234 Zizi
2025-04-05 04:55:21,bagusin game nya muntun drak sistem pp,1,Maulana Ibrahim n smp 1 rantau selatan
2025-04-05 04:54:38,Game apa ini pertadingan berat sebelah timnya tidak pernah imbang rating 1 aja,1,Zainn.
2025-04-05 04:54:19,"moonton selalu memberi saya musuh yg tidak sepadan dan juga tim yg tidak tahu rotasi(bot),kalau 1 atau 2 kali mah gua masih bisa memaklumi,tp ini enggak, puluhan kali bahkan,padahal match aq udah 80 wr 45% tp masih aja gua tier legend, terus juga mmr Hero power gua menurun semua gara² moontonnn tidak pernah berbuat adil🔥🔥. SEMOGA DENGAN SAYA MEMBERI ULASAN INI,MOONTON BISA BEKERJA DENGAN ADIL& BIJAKSANA 🤲🏻🤲🏻",1,muiz udin
2025-04-05 04:54:14,"Tolong perbaiki bug"" pada skill hero, saya pernah bermain hero Argus, saat saya menekan tombol ulti, ulti tersebut tidak aktif. Padahal jaringan saya bagus dan tidak lag sama sekali, jadi tolong perbaiki bug pada skill hero karena bukan hanya hero Argus yang terkena masalah tersebut. namun saya menyukai game yang Anda buat karena seru dan mengisi waktu luang. Terimakasih...",5,Manz ft KGN
2025-04-05 04:54:07,bagus,5,adit dontol
2025-04-05 04:53:55,mantap moonton gane nya seru menyenangkan saya losstreak 13X tim nya pro sampe coklat semua😁😁😁,5,memel kece26
2025-04-05 04:52:46,Ampun moonton saya minta maaf Jan kasih saya bug sinyal monton ampun..,5,Raihan Simalakama
2025-04-05 04:52:42,gamenya suka nge lag,4,nafiek junior
2025-04-05 04:51:30,gemnja bagus,5,Hiro Sianto
2025-04-05 04:51:25,Tidak se imbang dalam pertandingan ..lawan terlalu jago..sedangkan tim amatir..,1,Jajang Budiman
2025-04-05 04:48:44,saya suka sekali sama mlbb terimakasih yh game ini bikin hiburan yg menarik😘😘,5,Dimas Kurniawan
2025-04-05 04:48:11,moonton sangat baik hati kepada saya karena moonton selalu memberikan tim yang sangat drak sistem sehingga saya tidak pernah naik rank tetapi selalu turun rank terimakasih moonton karena selalu memberikan tim drak sistem dan tidak bisa bermain selalu dapet lose treak ☺️☺️,5,Dhafitha Nur
2025-04-05 04:48:08,tiap main pasti dikasih tim yang dark sistem sedangkan musuh timnya jago bet,1,Galuh
2025-04-05 04:48:07,game nya sangat bagus 👍,5,Lambu LapuLapu
2025-04-05 04:46:54,game gak jelas GK bisa di gerain pesan babi memang gak jelas GK bisa di gerain,1,Yoga Anggoro
2025-04-05 04:46:49,gw udah beli paket tapi ml nya pas gw login udah tiba di loby terus tiba ke moonton terus login sampe lama sampe 1 jam udah instal ulang ml nya tetap aja kayak gitu,1,Susi Khusi
2025-04-05 04:46:31,LUPA SANDI MOONTON AJA SUSAH BGT KYANYA KARNA GA DIKAITIN KE EMAIL TOLONG DIPERBAIKI. segala cara sudah sy coba masuk ke pemilik akun ttp aja gabisa ganti sandi.,1,Satria Eka
2025-04-05 04:46:28,Geme nya bagus dan hero moskop sel nya sepet arirodnya,4,Mulyati Lestari deti
2025-04-05 04:46:25,gemenya kredit skornya lagi main tiba tiba gabisa main renk,1,hidayah ida
2025-04-05 04:46:22,sangat bagus musuh nya mudah,5,Oppo Atiga
2025-04-05 04:45:06,ok,5,Saladin Akbar
2025-04-05 04:44:43,ok,5,Abiyasa Ibra hendriana
2025-04-05 04:44:00,karna game nyabagus dan unik,5,Dava Sanjaya
2025-04-05 04:43:13,inti nya suka,5,Author_57 Watashi
2025-04-05 04:42:27,lov,5,Rickyy M
2025-04-05 04:41:41,sangat menyenangkan,5,Nisya Nisa
2025-04-05 04:41:04,game bagus realistis,5,Dadan Dadan
2025-04-05 04:40:12,"game nya bagus tapi Yah, kurangin Lag nya masa Sinyal Wifi nya besar malah lag di Ml, maksud nya gimana??, padahal udah seru main tiba tiba ngak ada sinyal, padahal sinyal nya besar",2,Rapa aprilian anugra
2025-04-05 04:40:07,bagus tapi efeknya burik,4,Raffa Dwi R
2025-04-05 04:39:55,"waduh kebanyakan yg ngasih bintang satu apa tanda"" mau pada pindah game moba sebelah",3,ahmad thoriq
2025-04-05 04:39:22,"apaan lah monoton ini masa akun saya di kasih temen drak sistem semua, saya kan pemain solo jangan lah kaya gitu moonton, masa mvp terus nga menang?, saya sebagai pemain mobile legends sangat kecewa dengan moonton",1,Nana Tri
2025-04-05 04:39:19,Asikin bang,5,Al Fikri
2025-04-05 04:38:28,kok ngk ada jrgan trus game bangst emng ni lag trus,1,Multazam
2025-04-05 04:38:04,"moonton tolong segera perbaiki masalah lag jaringan,ini kuota baru beli tp tetep ngelag moonton,gw harap moonton segera beri respon yaa",1,Akun Cadangan
2025-04-05 04:37:57,game nya bagus,5,Iki Dzikri
2025-04-05 04:37:42,Seru pokoknya,5,Agrista Putri
2025-04-05 04:37:37,gak jelas gaem nya..susah naik nya bikin males nih gaem..mending hapus aja gaem nya teman-teman..masih banyak gaem yang lebih seruh dari monoton,1,Cirebon Wong
